"review_id","source_line","zh","en","review_label","reviewer_notes"
"HQ-0088","9790695","当你想从平均每天的压力简要逃走,但没有很长,一个很好的方式来分散你的自我是网上免费玩游戏,无需下载。","When you want a brief escape from the pressures of the average day but don't have very long, a good way to distract your self is to play games online for free without downloading.","",""
"HQ-0089","11185148","技能: C# 编程 , HTML5 , Mobile App Development , 用户体验设计 , 用户接口 / IA","Skills: C# Programming , HTML5 , Mobile App Development , User Experience Design , User Interface / IA","",""
"HQ-0090","11244802","使用我的 flowers4milan.com 帐户来访问您的帐户和联系客户服务。","Use my flowers4milan.com account to access your account and contact customer service.","",""
"HQ-0091","12370308","所有你需要做的就是下载我们的密钥生成工具,并运行它.","All that you need to do is to download our key generator tool and run it.","",""
"HQ-0092","13655250","您是否知道Cozumel Centro, 77600 ?","Do you know Cozumel Centro, 77600 ?","",""
"HQ-0093","13994944","1 CHELTENHAM Place 1 CHELTENHAM Place Halfmoon , 纽约 12065 美国","1 CHELTENHAM Place 1 CHELTENHAM Place Halfmoon , New York 12065 United States","",""
"HQ-0094","13997467","Hotel Euroopa Paadi 5, Tallinn 412 米 (步行距离: 5 分钟 )","Hotel Euroopa Paadi 5, Tallinn 412 meters (walking distance: 5 minutes )","",""
"HQ-0095","805283","反馈回路监控工作如何在PNOZmulti小型控制器上进行?","How does feedback loop monitoring work on the small controllers PNOZmulti?","",""
"HQ-0096","3838627","你可能会觉得奇怪,为何上帝要用六天的时间创造万物?","You may wonder why God took six days to make everything.","",""
"HQ-0097","5160190","#67, Mostafa khomeyni ( shahab) street , Alley 44 , kerman , 伊朗","#67, Mostafa khomeyni ( shahab) street , Alley 44 , kerman , Iran","",""
"HQ-0098","5566304","什么是 Skype 自动充值? 它如何工作?","What is Skype Auto-recharge and how does it work?","",""
"HQ-0099","8908033","• Experience with PHP MVC frameworks (Symfony, Laravel, CodeIgniter, Zend, etc . )","• Experience with PHP MVC frameworks (Symfony, Laravel, CodeIgniter, Zend, etc.)","",""
"HQ-0100","11532306","Skills and experience is the golden factor with this ty 更多 $50 USD / 小时","Skills and experience is the golden factor with this ty More $50 USD / hour","",""
